City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Akropong,GH,22.53,Broken Clouds,5.9746,-0.0854,Vip Lodge
554,Xichang,CN,18.37,Broken Clouds,27.8964,102.2634,Xichang ibis Hotel
556,Jinxiang,CN,17.92,Clear Sky,27.4327,120.6062,Wolong Village
560,Igboho,NG,22.37,Overcast Clouds,8.8333,3.75,More Hotet LTD
569,Katsuura,JP,21.73,Clear Sky,35.1333,140.3,Katsuura Hotel Mikazuki
581,Hualmay,PE,17.11,Scattered Clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
582,Faya,SA,18.06,Clear Sky,18.3851,42.4509,املاك خالد الشعشوع
598,Nouadhibou,MR,18.99,Broken Clouds,20.930999999999997,-17.0347,El Medina
599,Dalbandin,PK,20.1,Clear Sky,28.8947,64.4101,Gidaan Guest House
609,Braco Do Norte,BR,18.48,Overcast Clouds,-28.275,-49.1656,Costa Nobre Hotel
622,Springbok,ZA,20.75,Scattered Clouds,-29.6643,17.8865,Undulata Country Lodge
628,Guerrero Negro,MX,18.86,Clear Sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
629,Porangatu,BR,20.99,Overcast Clouds,-13.4408,-49.1486,Wembley Park Hotel
631,Odienne,CI,21.56,Overcast Clouds,9.51,-7.5692,Oustaz Vame DIAKITE
632,Jiaojiang,CN,17.91,Clear Sky,28.6803,121.4428,Jiaojiang Hotel
638,Santa Helena,BR,22.01,Scattered Clouds,-2.2311,-45.3,Turi Plaza Hotel
639,Hondo,JP,15.97,Broken Clouds,32.45,130.2,ホテル河丁
643,Diamantino,BR,22.47,Light Rain,-14.4086,-56.4461,Hotel Delta
644,Inirida,CO,22.48,Few Clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
647,Susaki,JP,17.04,Scattered Clouds,33.3667,133.2833,Awa
652,Boyuibe,BO,16.91,Overcast Clouds,-20.4167,-63.2833,Residencial Eluzai
655,Mindelo,CV,22.75,Few Clouds,16.8901,-24.9804,Hotel Gaudi
656,Los Llanos De Aridane,ES,17.86,Broken Clouds,28.6585,-17.9182,Valle Aridane
664,General Roca,AR,15.22,Light Rain,-39.0333,-67.5833,Hotel y Casino del Río General Roca
665,Bulawayo,ZW,20.88,Overcast Clouds,-20.15,28.5833,4 On Housman Backpackers
670,San Jose,US,15.87,Clear Sky,37.3394,-121.895,The Westin San Jose
671,Puerto Rico,AR,18.78,Overcast Clouds,-26.796,-55.023999999999994,Hotel Cabañas del Prado
673,Grenfell,AU,15.47,Light Rain,-33.9,148.1667,Grenfell Royal Hotel
674,Pecos,US,19.06,Clear Sky,31.4229,-103.4932,Knights Inn & Suites Pecos
677,Todos Santos,MX,21.53,Clear Sky,23.45,-110.2167,Hotel California Todos Santos
689,San Jose De Guanipa,VE,22.28,Broken Clouds,8.8872,-64.1651,HOTEL 283 SUITES
690,Muroto,JP,17.02,Few Clouds,33.2833,134.15,Oota Ryokan
694,Puerto Leguizamo,CO,22.06,Light Rain,-0.1934,-74.7819,la casona de juancho
695,Saquarema,BR,20.81,Overcast Clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
710,Opelousas,US,18.9,Broken Clouds,30.5335,-92.0815,"Holiday Inn & Suites Opelousas, an IHG Hotel"
