City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Wad Rawah,SD,2021-11-08 20:25:12,15.1603,33.1397,304.28,18,3,4.78
152,Boca Do Acre,BR,2021-11-08 20:25:13,-8.7522,-67.3978,302.61,75,77,0.71
153,Isiolo,KE,2021-11-08 20:25:13,0.3546,37.5822,295.58,51,96,4.06
154,Galle,LK,2021-11-08 20:25:14,6.0367,80.217,297.57,90,100,8.28
155,Dugda,IN,2021-11-08 20:25:14,23.75,86.1667,291.72,61,27,2.26
156,Port Hedland,AU,2021-11-08 20:25:14,-20.3167,118.5667,296.18,68,35,6.17
157,Savinskiy,RU,2021-11-08 20:25:15,62.9342,40.1361,268.54,86,7,3.0
158,Faanui,PF,2021-11-08 20:25:15,-16.4833,-151.75,299.11,76,14,3.9
159,Great Falls,US,2021-11-08 20:23:05,47.5002,-111.3008,281.85,28,1,4.02
160,Ambilobe,MG,2021-11-08 20:25:16,-13.2,49.05,298.58,79,30,1.67
161,Coolum Beach,AU,2021-11-08 20:25:16,-26.5333,153.1,296.12,98,100,0.95
162,Laguna,US,2021-11-08 20:25:17,38.421,-121.4238,292.39,54,1,0.45
163,Evensk,RU,2021-11-08 20:25:17,61.95,159.2333,267.0,92,100,3.58
164,Tuatapere,NZ,2021-11-08 20:25:18,-46.1333,167.6833,291.38,65,93,2.11
165,Albert Lea,US,2021-11-08 20:21:30,43.648,-93.3683,290.34,31,1,6.69
166,Atuona,PF,2021-11-08 20:25:18,-9.8,-139.0333,299.03,73,28,7.94
167,Syamzha,RU,2021-11-08 20:25:19,60.0158,41.0614,271.23,93,100,6.05
168,Mnogovershinnyy,RU,2021-11-08 20:25:20,53.9353,139.9242,262.9,80,66,1.2
169,Conceicao Do Araguaia,BR,2021-11-08 20:25:21,-8.2578,-49.2647,299.99,85,100,2.24
170,Yellowknife,CA,2021-11-08 20:25:21,62.456,-114.3525,268.94,84,75,0.89
171,East London,ZA,2021-11-08 20:25:21,-33.0153,27.9116,289.26,87,100,7.96
172,Aripuana,BR,2021-11-08 20:25:22,-9.1667,-60.6333,301.36,75,86,0.74
173,Taoudenni,ML,2021-11-08 20:25:22,22.6783,-3.9836,295.2,22,47,4.63
174,Port Hardy,CA,2021-11-08 20:25:23,50.6996,-127.4199,280.15,87,90,8.75
175,Pampa,US,2021-11-08 20:23:11,35.5362,-100.9599,302.23,11,62,4.27
176,Kungurtug,RU,2021-11-08 20:25:23,50.5994,97.5228,259.01,94,21,0.68
177,Vagur,FO,2021-11-08 20:25:24,61.4732,-6.8119,281.9,80,100,12.39
178,Ostrovnoy,RU,2021-11-08 20:21:09,68.0531,39.5131,271.68,65,100,8.49
